FID,Shape,kecamatan,kabupaten,provinsi,lat,lon,kategori
79,"Point[X=117.635802100387, Y=3.30092752008903, WKID=4326]",TARAKAN TIMUR,KOTA TARAKAN,KALIMANTAN UTARA,3.30092752,117.6358021,high
80,"Point[X=97.5634412604059, Y=3.52201961641219, WKID=4326]",DARUL HASANAH,ACEH TENGGARA,ACEH,3.522019616,97.56344126,high
81,"Point[X=111.015061300139, Y=-7.74494779280633, WKID=4326]",JATIPURO,KARANGANYAR,JAWA TENGAH,-7.744947793,111.0150613,high
82,"Point[X=110.258638099868, Y=-7.82359820739129, WKID=4326]",SEDAYU,BANTUL,DAERAH ISTIMEWA YOGYAKARTA,-7.823598207,110.2586381,high
83,"Point[X=101.388302999984, Y=1.68174587617131, WKID=4326]",DUMAI BARAT,KOTA DUMAI,RIAU,1.681745876,101.388303,high
84,"Point[X=117.614237900059, Y=3.35425852161353, WKID=4326]",TARAKAN TENGAH,KOTA TARAKAN,KALIMANTAN UTARA,3.354258522,117.6142379,high
85,"Point[X=106.153945499585, Y=-2.12432589802171, WKID=4326]",BUKITINTAN,KOTA PANGKALPINANG,KEPULAUAN BANGKA BELITUNG,-2.124325898,106.1539455,high
86,"Point[X=106.621441100427, Y=-5.9014356424409, WKID=4326]",KEPULAUAN SERIBU SELATAN.,KEPULAUAN SERIBU,DKI JAKARTA,-5.901435642,106.6214411,high
87,"Point[X=113.745858699619, Y=-2.0061620462414, WKID=4326]",BUKIT BATU,KOTA PALANGKARAYA,KALIMANTAN TENGAH,-2.006162046,113.7458587,high
88,"Point[X=119.802087800312, Y=-3.92499794429966, WKID=4326]",MARITENGNGAE,SIDENRENG RAPPANG,SULAWESI SELATAN,-3.924997944,119.8020878,high
89,"Point[X=110.265629999625, Y=-7.98081690597536, WKID=4326]",SANDEN,BANTUL,DAERAH ISTIMEWA YOGYAKARTA,-7.980816906,110.26563,high
90,"Point[X=116.508021799966, Y=2.56671730635867, WKID=4326]",PESO,BULUNGAN,KALIMANTAN UTARA,2.566717306,116.5080218,high
91,"Point[X=134.846539300348, Y=-1.03255869083085, WKID=4326]",NUMFOR BARAT,BIAK NUMFOR,PAPUA,-1.032558691,134.8465393,high
92,"Point[X=121.337125100043, Y=-1.95474836964149, WKID=4326]",PETASIA,MOROWALI UTARA,SULAWESI TENGAH,-1.95474837,121.3371251,high
93,"Point[X=106.833234900171, Y=-6.15383607457511, WKID=4326]",SAWAH BESAR,JAKARTA PUSAT,DKI JAKARTA,-6.153836075,106.8332349,high
94,"Point[X=101.448323100431, Y=0.523012828279434, WKID=4326]",PEKANBARU KOTA,KOTA PEKANBARU,RIAU,0.523012828,101.4483231,high
95,"Point[X=110.357893600409, Y=-7.80090620775525, WKID=4326]",NGAMPILAN,KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA,-7.800906208,110.3578936,high
96,"Point[X=106.120805799648, Y=-2.09842668484356, WKID=4326]",PANGKAL BALAM,KOTA PANGKALPINANG,KEPULAUAN BANGKA BELITUNG,-2.098426685,106.1208058,high
97,"Point[X=106.835171799739, Y=-6.19578291984584, WKID=4326]",MENTENG,JAKARTA PUSAT,DKI JAKARTA,-6.19578292,106.8351718,high
98,"Point[X=107.706666399835, Y=-6.93238114837123, WKID=4326]",PANYILEUKAN,KOTA BANDUNG,JAWA BARAT,-6.932381148,107.7066664,high
99,"Point[X=117.556315099562, Y=0.565842755638698, WKID=4326]",SANGATTA UTARA,KUTAI TIMUR,KALIMANTAN TIMUR,0.565842756,117.5563151,high
100,"Point[X=102.515976700165, Y=-1.42528123214311, WKID=4326]",TEBO TENGAH,TEBO,JAMBI,-1.425281232,102.5159767,high
101,"Point[X=111.376895700376, Y=-7.57690984711172, WKID=4326]",KARAS,MAGETAN,JAWA TIMUR,-7.576909847,111.3768957,high
102,"Point[X=115.949956099994, Y=-3.46048168588106, WKID=4326]",BATU LICIN,TANAH BUMBU,KALIMANTAN SELATAN,-3.460481686,115.9499561,high
103,"Point[X=117.323360000264, Y=0.436897861746957, WKID=4326]",SANGATTA SELATAN,KUTAI TIMUR,KALIMANTAN TIMUR,0.436897862,117.32336,high
104,"Point[X=110.414195999746, Y=-7.8768504831632, WKID=4326]",PLERET,BANTUL,DAERAH ISTIMEWA YOGYAKARTA,-7.876850483,110.414196,high
105,"Point[X=111.46570530016, Y=-7.86624821818066, WKID=4326]",PONOROGO,PONOROGO,JAWA TIMUR,-7.866248218,111.4657053,high
106,"Point[X=112.535931200165, Y=-7.7962777973824, WKID=4326]",BUMIAJI,KOTA BATU,JAWA TIMUR,-7.796277797,112.5359312,high
107,"Point[X=135.376785800225, Y=-3.42911692480618, WKID=4326]",WANGGAR,NABIRE,PAPUA,-3.429116925,135.3767858,high
108,"Point[X=119.962128399706, Y=-1.83104638658142, WKID=4326]",PIPIKORO,SIGI,SULAWESI TENGAH,-1.831046387,119.9621284,high
109,"Point[X=107.691719299606, Y=-6.92786349490433, WKID=4326]",CINAMBO,KOTA BANDUNG,JAWA BARAT,-6.927863495,107.6917193,high
110,"Point[X=103.562934799701, Y=-1.59373945081495, WKID=4326]",TELANAIPURA,KOTA JAMBI,JAMBI,-1.593739451,103.5629348,high
111,"Point[X=106.780841000312, Y=-6.36869833416074, WKID=4326]",LIMO,KOTA DEPOK,JAWA BARAT,-6.368698334,106.780841,high
112,"Point[X=123.100700100229, Y=0.624321782324444, WKID=4326]",TAPA,BONE BOLANGO,GORONTALO,0.624321782,123.1007001,high
113,"Point[X=106.917465500133, Y=-6.90845820797989, WKID=4326]",GUNUNG PUYUH,KOTA SUKABUMI,JAWA BARAT,-6.908458208,106.9174655,high
114,"Point[X=117.877147500257, Y=4.06485606105844, WKID=4326]",SEBATIK,NUNUKAN,KALIMANTAN UTARA,4.064856061,117.8771475,high
115,"Point[X=110.50469360003, Y=-7.79739364919749, WKID=4326]",PRAMBANAN,SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,-7.797393649,110.5046936,high
116,"Point[X=122.501379600388, Y=-4.04338657712879, WKID=4326]",BARUGA,KOTA KENDARI,SULAWESI TENGGARA,-4.043386577,122.5013796,high
117,"Point[X=116.109894600256, Y=-8.60267989316247, WKID=4326]",MATARAM,KOTA MATARAM,NUSA TENGGARA BARAT,-8.602679893,116.1098946,high
118,"Point[X=113.915856400253, Y=-2.30793322623737, WKID=4326]",SABANGAU,KOTA PALANGKARAYA,KALIMANTAN TENGAH,-2.307933226,113.9158564,high
119,"Point[X=107.67714819963, Y=-6.92029881963475, WKID=4326]",ARCAMANIK,KOTA BANDUNG,JAWA BARAT,-6.92029882,107.6771482,high
120,"Point[X=136.546132899614, Y=-3.96805149168296, WKID=4326]",PANIAI TIMUR,PANIAI,PAPUA,-3.968051492,136.5461329,high
121,"Point[X=104.173884799844, Y=-3.41875375178415, WKID=4326]",PRABUMULIH BARAT,KOTA PRABUMULIH,SUMATERA SELATAN,-3.418753752,104.1738848,high
122,"Point[X=127.322457099615, Y=0.822651980104865, WKID=4326]",PULAU TERNATE,KOTA TERNATE,MALUKU UTARA,0.82265198,127.3224571,high
123,"Point[X=115.100214600124, Y=-8.1296190141062, WKID=4326]",BULELENG,BULELENG,BALI,-8.129619014,115.1002146,high
124,"Point[X=119.410782399888, Y=-5.13992706378292, WKID=4326]",UJUNG PANDANG,KOTA MAKASSAR,SULAWESI SELATAN,-5.139927064,119.4107824,high
125,"Point[X=117.006292399974, Y=1.24063666115302, WKID=4326]",KOMBENG,KUTAI TIMUR,KALIMANTAN TIMUR,1.240636661,117.0062924,high
126,"Point[X=110.624107799935, Y=-7.72608187158107, WKID=4326]",KALIKOTES,KLATEN,JAWA TENGAH,-7.726081872,110.6241078,high
127,"Point[X=140.642025200203, Y=-2.9907635104276, WKID=4326]",ARSO,KEEROM,PAPUA,-2.99076351,140.6420252,high
128,"Point[X=110.155435500048, Y=-7.83117695075561, WKID=4326]",PENGASIH,KULON PROGO,DAERAH ISTIMEWA YOGYAKARTA,-7.831176951,110.1554355,high
129,"Point[X=106.120991399933, Y=-1.87537813679154, WKID=4326]",SUNGAILIAT,BANGKA,KEPULAUAN BANGKA BELITUNG,-1.875378137,106.1209914,high
130,"Point[X=121.352810799978, Y=-3.5099621995958, WKID=4326]",UEESI,KOLAKA TIMUR,SULAWESI TENGGARA,-3.5099622,121.3528108,high
131,"Point[X=110.887773700296, Y=-7.73417787530866, WKID=4326]",NGUTER,SUKOHARJO,JAWA TENGAH,-7.734177875,110.8877737,high
132,"Point[X=123.042270299735, Y=0.656834748325025, WKID=4326]",TELAGA,GORONTALO,GORONTALO,0.656834748,123.0422703,high
133,"Point[X=121.957545099827, Y=0.47311633585025, WKID=4326]",MARISA,PAHUWATO,GORONTALO,0.473116336,121.9575451,high
134,"Point[X=121.580120100262, Y=0.705169274842206, WKID=4326]",LEMITO,PAHUWATO,GORONTALO,0.705169275,121.5801201,high
135,"Point[X=113.952716900365, Y=-2.2131998928607, WKID=4326]",PAHANDUT,KOTA PALANGKARAYA,KALIMANTAN TENGAH,-2.213199893,113.9527169,high
136,"Point[X=128.171236899563, Y=0.700623923155604, WKID=4326]",KOTA MABA,HALMAHERA TIMUR,MALUKU UTARA,0.700623923,128.1712369,high
137,"Point[X=115.173438000064, Y=-8.72606583377114, WKID=4326]",KUTA,BADUNG,BALI,-8.726065834,115.173438,high
138,"Point[X=112.646348700132, Y=-7.22649686293983, WKID=4326]",BENOWO,KOTA SURABAYA,JAWA TIMUR,-7.226496863,112.6463487,high
139,"Point[X=106.681843800351, Y=-6.18632925009479, WKID=4326]",CIPONDOH,KOTA TANGERANG,BANTEN,-6.18632925,106.6818438,high
140,"Point[X=113.812429399797, Y=-2.19632406969998, WKID=4326]",JEKAN RAYA,KOTA PALANGKARAYA,KALIMANTAN TENGAH,-2.19632407,113.8124294,high
141,"Point[X=106.640745999628, Y=-6.18919517002104, WKID=4326]",TANGERANG,KOTA TANGERANG,BANTEN,-6.18919517,106.640746,high
142,"Point[X=106.711747600172, Y=-6.26619959503523, WKID=4326]",PONDOK AREN,KOTA TANGERANG SELATAN,BANTEN,-6.266199595,106.7117476,high
143,"Point[X=110.420989199692, Y=-6.98031804594103, WKID=4326]",SEMARANG TENGAH,KOTA SEMARANG,JAWA TENGAH,-6.980318046,110.4209892,high
144,"Point[X=106.666326899567, Y=-6.21574729280326, WKID=4326]",PINANG,KOTA TANGERANG,BANTEN,-6.215747293,106.6663269,high
145,"Point[X=112.618784000082, Y=-7.17801612824167, WKID=4326]",KEBOMAS,GRESIK,JAWA TIMUR,-7.178016128,112.618784,high
146,"Point[X=115.080835800032, Y=-1.95507910881378, WKID=4326]",KARUSEN JANANG,BARITO TIMUR,KALIMANTAN TENGAH,-1.955079109,115.0808358,high
147,"Point[X=106.868046199672, Y=-6.18088347918916, WKID=4326]",CEMPAKA PUTIH,JAKARTA PUSAT,DKI JAKARTA,-6.180883479,106.8680462,high
148,"Point[X=111.057386599912, Y=-6.74030159044599, WKID=4326]",PATI,PATI,JAWA TENGAH,-6.74030159,111.0573866,high
149,"Point[X=119.408797800278, Y=-5.15739259579163, WKID=4326]",MARISO,KOTA MAKASSAR,SULAWESI SELATAN,-5.157392596,119.4087978,high
150,"Point[X=106.725304799977, Y=-6.30825515934805, WKID=4326]",CIPUTAT,KOTA TANGERANG SELATAN,BANTEN,-6.308255159,106.7253048,high
151,"Point[X=106.820183200295, Y=-6.33516233987007, WKID=4326]",JAGAKARSA,JAKARTA SELATAN,DKI JAKARTA,-6.33516234,106.8201832,high
152,"Point[X=106.845861399684, Y=-6.18426848240449, WKID=4326]",SENEN,JAKARTA PUSAT,DKI JAKARTA,-6.184268482,106.8458614,high
153,"Point[X=106.798099500292, Y=-6.5937677730642, WKID=4326]",BOGOR TENGAH,KOTA BOGOR,JAWA BARAT,-6.593767773,106.7980995,high
154,"Point[X=106.680792699723, Y=-6.31125479137546, WKID=4326]",SERPONG,KOTA TANGERANG SELATAN,BANTEN,-6.311254791,106.6807927,high
155,"Point[X=110.399386799761, Y=-7.71196716135535, WKID=4326]",NGAGLIK,SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,-7.711967161,110.3993868,high
156,"Point[X=101.396679799933, Y=1.63674248078092, WKID=4326]",DUMAI SELATAN,KOTA DUMAI,RIAU,1.636742481,101.3966798,high
157,"Point[X=112.616029400037, Y=-7.22967179981367, WKID=4326]",PAKAL,KOTA SURABAYA,JAWA TIMUR,-7.2296718,112.6160294,high
158,"Point[X=107.155540699744, Y=-6.27528412815997, WKID=4326]",CIKARANG UTARA,BEKASI,JAWA BARAT,-6.275284128,107.1555407,high
159,"Point[X=104.058108700256, Y=1.11866417511163, WKID=4326]",BATAM KOTA,KOTA BATAM,KEPULAUAN RIAU,1.118664175,104.0581087,high
160,"Point[X=112.509087699738, Y=-7.88728939978591, WKID=4326]",BATU,KOTA BATU,JAWA TIMUR,-7.8872894,112.5090877,high
161,"Point[X=110.247847899961, Y=-7.77739984592608, WKID=4326]",MOYUDAN,SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,-7.777399846,110.2478479,high
162,"Point[X=106.705679600034, Y=-6.23877555075103, WKID=4326]",CILEDUG,KOTA TANGERANG,BANTEN,-6.238775551,106.7056796,high
163,"Point[X=106.818080200441, Y=-6.17146439106875, WKID=4326]",GAMBIR,JAKARTA PUSAT,DKI JAKARTA,-6.171464391,106.8180802,high
164,"Point[X=106.818262299665, Y=-6.14828416837963, WKID=4326]",TAMAN SARI,JAKARTA BARAT,DKI JAKARTA,-6.148284168,106.8182623,high
165,"Point[X=106.785376699575, Y=-6.54640410876254, WKID=4326]",TANAH SAREAL,KOTA BOGOR,JAWA BARAT,-6.546404109,106.7853767,high
166,"Point[X=106.60792089963, Y=-6.20569684103634, WKID=4326]",CIBODAS,KOTA TANGERANG,BANTEN,-6.205696841,106.6079209,high
167,"Point[X=106.793298900324, Y=-6.29274406098955, WKID=4326]",CILANDAK,JAKARTA SELATAN,DKI JAKARTA,-6.292744061,106.7932989,high
168,"Point[X=106.801412000164, Y=-6.24475105921397, WKID=4326]",KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,-6.244751059,106.801412,high
169,"Point[X=106.903530200159, Y=-6.16076849137272, WKID=4326]",KELAPA GADING,JAKARTA UTARA,DKI JAKARTA,-6.160768491,106.9035302,high
170,"Point[X=106.758658200416, Y=-6.25035914425905, WKID=4326]",PESANGGRAHAN,JAKARTA SELATAN,DKI JAKARTA,-6.250359144,106.7586582,high
171,"Point[X=101.232263100362, Y=1.26082803288745, WKID=4326]",MANDAU,BENGKALIS,RIAU,1.260828033,101.2322631,high
172,"Point[X=140.513528999664, Y=-2.56803215456023, WKID=4326]",SENTANI,JAYAPURA,PAPUA,-2.568032155,140.513529,high
173,"Point[X=140.639922700372, Y=-2.63705667292709, WKID=4326]",HERAM,KOTA JAYAPURA,PAPUA,-2.637056673,140.6399227,high
174,"Point[X=106.826476100192, Y=-6.62048155258157, WKID=4326]",BOGOR TIMUR,KOTA BOGOR,JAWA BARAT,-6.620481553,106.8264761,high
175,"Point[X=115.212521400342, Y=-8.62577434031351, WKID=4326]",DENPASAR SELATAN,KOTA DENPASAR,BALI,-8.62577434,115.2125214,high
